Feature,PortSiz,NormPress,ConSize,PressNum,X,Y
Water Hydrant,6,90,6,550-154,506785.67,5450851.59
Water Hydrant,6,84,6,504W-018,506903.52,5450760.88
Water Hydrant,6,90,6,504W-017,507098.5213,5450821.3684
Water Hydrant,6,108,6,504W-006,507249.64,5450805.1
Water Hydrant,6,122,6,504W-004,507323.42,5450776.54
Water Hydrant,6,74,6,550-044,504439.45,5451045.54
Water Hydrant,6,70,6,550-043,504315.5,5450992.29
Water Hydrant,6,80,6,550-046,504532.2,5450933.04
Water Hydrant,6,74,6,550-045,504477.09,5450999.87
Water Hydrant,6,80,6,550-050,504661.9863,5451032.6177
Water Hydrant,6,88,6,550-055,504874.74,5451043.53
Water Hydrant,6,92,6,550-054,504935.3693,5450980.569
Water Hydrant,6,84,6,550-060,505126.21,5450997.84
Water Hydrant,6,80,6,550-064,505479.51,5451020.22
Water Hydrant,6,84,6,550-080,505631.2545,5451005.6162
Water Hydrant,6,84,6,550-062,505543.857,5450948.4698
Water Hydrant,6,84,6,550-083A,505672.54,5450943.15
Water Hydrant,6,80,6,550-082,505815.09,5450925.4289
Water Hydrant,6,70,6,550-088,505939.6561,5451010.7393
Water Hydrant,6,70,6,550-140,506167.23,5450929.59
Water Hydrant,6,68,6,550-145,506264.56,5450996.43
Water Hydrant,6,78,6,550-150,506507.01,5450916.09
Water Hydrant,6,70,6,550-155,506666.43,5451048.02
Water Hydrant,6,90,6,550-116,506049.9825,5452306.7763
Water Hydrant,6,72,6,550-115,506000.16,5452391.91
Water Hydrant,6,90,6,550-114,506112.84,5452258.78
Water Hydrant,6,78,6,550-176,506235.6688,5452372.005
Water Hydrant,6,78,6,550-175,506314.3602,5452317.5617
Water Hydrant,6,80,6,550-173,506477.3158,5452302.445
Water Hydrant,6,60,6,504E-011,506675.519,5452388.4742
Water Hydrant,6,80,6,504E-016,506945.52,5452326.44
Water Hydrant,6,84,6,504E-019,507083.28,5452345.51
Water Hydrant,6,90,6,504E-034,507197.97,5452339.64
Water Hydrant,6,94,6,504E-040,507368.76,5452340.77
Water Hydrant,6,68,6,410-016,507598.62,5452322.4
Water Hydrant,6,92,6,410-013,507781.3,5452319.38
Water Hydrant,6,110,6,410-039,507905.24,5452285.92
Water Hydrant,6,116,6,410-041,508144.87,5452340.68
Water Hydrant,6,116,6,410-040,508059.06,5452394.8535
Water Hydrant,6,114,6,410-042,508200.78,5452304.66
Water Hydrant,6,70,6,550-106,505880.25,5452293.2
Water Hydrant,6,90,6,350E-036,506571.02,5450067.68
Water Hydrant,6,84,6,350E-035,506623.45,5450144.82
Water Hydrant,6,96,6,350E-020,506684.23,5450103.1
Water Hydrant,6,114,6,350E-008,506762.02,5450011.29
Water Hydrant,6,104,6,350E-019,506719.64,5450066.07
Water Hydrant,6,114,6,350E-014,506808.19,5450116.99
Water Hydrant,6,125,6,350E-007,506851.08,5450084.74
Water Hydrant,6,102,4,550-011,503390.06,5450179.09
Water Hydrant,6,106,6,550-017,503637.57,5450164.88
Water Hydrant,6,94,6,550-019A,503801.15,5450296.95
Water Hydrant,6,104,6,550-020,503867.76,5450216.74
Water Hydrant,6,110,6,550-025,504084.18,5450279.16
Water Hydrant,6,124,6,550-024,504159.65,5450183.22
